match_number,date,opponent,venue,result,margin
2,2012-04-05,Delhi Daredevils,Eden Gardens,lost,by 8 wickets
7,2012-04-08,Rajasthan Royals,Sawai Mansingh Stadium,lost,by 22 runs
10,2012-04-10,Royal Challengers Bangalore,M Chinnaswamy Stadium,won,by 42 runs
15,2012-04-13,Rajasthan Royals,Eden Gardens,won,by 5 wickets
17,2012-04-15,Kings XI Punjab,Eden Gardens,lost,by 2 runs
22,2012-04-18,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",won,by 8 wickets
29,2012-04-22,Deccan Chargers,Barabati Stadium,won,by 5 wickets
38,2012-04-28,Royal Challengers Bangalore,Eden Gardens,won,by 47 runs
41,2012-04-30,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",won,by 5 wickets
47,2012-05-05,Pune Warriors,Eden Gardens,won,by 7 runs
51,2012-05-07,Delhi Daredevils,Feroz Shah Kotla,won,by 6 wickets
58,2012-05-12,Mumbai Indians,Eden Gardens,lost,by 27 runs
63,2012-05-14,Chennai Super Kings,Eden Gardens,lost,by 5 wickets
65,2012-05-16,Mumbai Indians,Wankhede Stadium,won,by 32 runs
70,2012-05-19,Pune Warriors,Subrata Roy Sahara Stadium,won,by 34 runs
73,2012-05-22,Delhi Daredevils,Subrata Roy Sahara Stadium,won,by 18 runs
76,2012-05-27,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",won,by 5 wickets
