match_number,date,opponent,venue,overs,maidens,runs,wickets,economy,dots,wides,noballs
4,2014-04-18,Rajasthan Royals,Sheikh Zayed Stadium,4.0,0,26,2,6.5,8,0,0
9,2014-04-22,Kings XI Punjab,Sharjah Cricket Stadium,4.0,0,56,2,14.0,6,1,0
12,2014-04-25,Delhi Daredevils,Dubai International Cricket Stadium,4.0,0,38,0,9.5,6,0,1
17,2014-04-27,Chennai Super Kings,Sharjah Cricket Stadium,3.3,0,27,0,7.71,5,0,0
20,2014-04-30,Mumbai Indians,Dubai International Cricket Stadium,4.0,0,54,0,13.5,5,1,0
30,2014-05-08,Rajasthan Royals,"Sardar Patel Stadium, Motera",4.0,0,13,0,3.25,13,1,0
32,2014-05-10,Delhi Daredevils,Feroz Shah Kotla,3.0,0,23,2,7.67,6,0,0
36,2014-05-12,Mumbai Indians,"Rajiv Gandhi International Stadium, Uppal",3.0,0,33,0,11.0,3,0,0
39,2014-05-14,Kings XI Punjab,"Rajiv Gandhi International Stadium, Uppal",4.0,0,32,1,8.0,6,0,1
43,2014-05-18,Kolkata Knight Riders,"Rajiv Gandhi International Stadium, Uppal",4.0,0,38,0,9.5,8,0,0
