match_number,date,opponent,venue,overs,maidens,runs,wickets,economy,dots,wides,noballs
2,2024-03-23,Delhi Capitals,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",4.0,0,47,2,11.75,6,0,0
6,2024-03-25,Royal Challengers Bengaluru,"M Chinnaswamy Stadium, Bengaluru",4.0,0,45,1,11.25,6,3,0
11,2024-03-30,Lucknow Super Giants,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",4.0,0,45,0,11.25,5,4,0
17,2024-04-04,Gujarat Titans,"Narendra Modi Stadium, Ahmedabad",4.0,0,44,1,11.0,3,3,0
23,2024-04-09,Sunrisers Hyderabad,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",4.0,0,30,2,7.5,8,1,0
27,2024-04-13,Rajasthan Royals,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",2.0,0,21,1,10.5,1,0,0
33,2024-04-18,Mumbai Indians,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",4.0,0,31,3,7.75,8,2,0
37,2024-04-21,Gujarat Titans,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",3.0,0,15,3,5.0,8,0,0
42,2024-04-26,Kolkata Knight Riders,"Eden Gardens, Kolkata",3.0,0,48,1,16.0,5,1,1
49,2024-05-01,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk, Chennai",1.0,0,12,0,12.0,0,1,0
53,2024-05-05,Chennai Super Kings,"Himachal Pradesh Cricket Association Stadium, Dharamsala",4.0,0,24,3,6.0,10,2,0
58,2024-05-09,Royal Challengers Bengaluru,"Himachal Pradesh Cricket Association Stadium, Dharamsala",4.0,0,38,3,9.5,6,1,0
65,2024-05-15,Rajasthan Royals,"Barsapara Cricket Stadium, Guwahati",4.0,0,28,2,7.0,8,1,0
69,2024-05-19,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",4.0,0,49,2,12.25,6,2,1
