match_number,date,opponent,venue,runs,balls,fours,sixes,strike_rate,dismissal,batting_position
5,2023-04-02,Royal Challengers Bangalore,"M Chinnaswamy Stadium, Bengaluru",5,4,1,0,125.0,b RJW Topley,3
12,2023-04-08,Chennai Super Kings,"Wankhede Stadium, Mumbai",12,11,1,0,109.09,c & b RA Jadeja,3
16,2023-04-11,Delhi Capitals,"Arun Jaitley Stadium, Delhi",17,8,1,1,212.5,not out,6
22,2023-04-16,Kolkata Knight Riders,"Wankhede Stadium, Mumbai",1,1,0,0,100.0,not out,7
25,2023-04-18,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",64,40,6,2,160.0,not out,3
31,2023-04-22,Punjab Kings,"Wankhede Stadium, Mumbai",67,43,6,3,155.81,c SM Curran b NT Ellis,3
35,2023-04-25,Gujarat Titans,"Narendra Modi Stadium, Ahmedabad",33,26,0,3,126.92,b Noor Ahmad,3
42,2023-04-30,Rajasthan Royals,"Wankhede Stadium, Mumbai",44,26,4,2,169.23,c TA Boult b R Ashwin,3
46,2023-05-03,Punjab Kings,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",23,18,4,0,127.78,c RD Chahar b NT Ellis,3
49,2023-05-06,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk, Chennai",6,4,1,0,150.0,b TU Deshpande,1
54,2023-05-09,Royal Challengers Bangalore,"Wankhede Stadium, Mumbai",2,2,0,0,100.0,not out,6
57,2023-05-12,Gujarat Titans,"Wankhede Stadium, Mumbai",3,3,0,0,100.0,not out,7
63,2023-05-16,Lucknow Super Giants,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",4,6,0,0,66.67,not out,7
69,2023-05-21,Sunrisers Hyderabad,"Wankhede Stadium, Mumbai",100,47,8,8,212.77,not out,3
72,2023-05-24,Lucknow Super Giants,"MA Chidambaram Stadium, Chepauk, Chennai",41,23,6,1,178.26,b Naveen-ul-Haq,3
73,2023-05-26,Gujarat Titans,"Narendra Modi Stadium, Ahmedabad",30,20,2,2,150.0,b J Little,3
