match_number,date,opponent,venue,overs,maidens,runs,wickets,economy,dots,wides,noballs
19,2009-04-29,Kolkata Knight Riders,Kingsmead,4.0,0,28,1,7.0,5,0,0
24,2009-05-01,Kings XI Punjab,Kingsmead,3.0,0,22,2,7.33,7,1,0
28,2009-05-03,Mumbai Indians,New Wanderers Stadium,3.0,0,27,1,9.0,5,0,0
33,2009-05-07,Rajasthan Royals,SuperSport Park,1.0,0,11,0,11.0,1,0,0
38,2009-05-10,Mumbai Indians,St George's Park,3.0,0,17,1,5.67,7,0,0
44,2009-05-14,Chennai Super Kings,Kingsmead,4.0,0,29,1,7.25,6,0,0
52,2009-05-19,Delhi Daredevils,New Wanderers Stadium,4.0,0,31,1,7.75,3,0,0
56,2009-05-21,Deccan Chargers,SuperSport Park,4.0,0,32,1,8.0,6,2,0
58,2009-05-23,Chennai Super Kings,New Wanderers Stadium,4.0,0,23,1,5.75,5,2,0
59,2009-05-24,Deccan Chargers,New Wanderers Stadium,4.0,0,28,0,7.0,8,0,0
