match_number,date,opponent,catches,stumpings,run_outs
11,2009-04-24,Royal Challengers Bangalore,1,0,0
15,2009-04-26,Rajasthan Royals,1,0,0
20,2009-04-29,Mumbai Indians,1,0,0
30,2009-05-05,Rajasthan Royals,1,0,0
34,2009-05-07,Chennai Super Kings,1,0,0
