position,team,played,won,lost,no_result,net_run_rate,points
1,Kolkata Knight Riders,14,11,3,0,1.865,22
2,Rajasthan Royals,15,9,6,0,0.15,18
3,Sunrisers Hyderabad,16,9,7,0,-0.09,18
4,Chennai Super Kings,14,7,7,0,0.392,14
5,Royal Challengers Bengaluru,15,7,8,0,0.386,14
6,Delhi Capitals,14,7,7,0,-0.377,14
7,Lucknow Super Giants,14,7,7,0,-0.667,14
8,Punjab Kings,14,5,9,0,-0.353,10
9,Gujarat Titans,12,5,7,0,-1.063,10
10,Mumbai Indians,14,4,10,0,-0.318,8
