player,team,role,matches
A Badoni,Lucknow Super Giants,all-rounder,12
A Kamboj,Mumbai Indians,all-rounder,3
A Manohar,Gujarat Titans,batter,2
A Mishra,Lucknow Super Giants,bowler,1
A Nortje,Delhi Capitals,all-rounder,6
A Raghuvanshi,Kolkata Knight Riders,batter,7
AA Kulkarni,Lucknow Super Giants,batter,2
AD Russell,Kolkata Knight Riders,all-rounder,14
AJ Turner,Lucknow Super Giants,batter,2
AK Markram,Sunrisers Hyderabad,all-rounder,11
AM Rahane,Chennai Super Kings,batter,12
AR Patel,Delhi Capitals,all-rounder,14
AS Joseph,Royal Challengers Bengaluru,bowler,3
AS Roy,Kolkata Knight Riders,all-rounder,3
Abdul Samad,Sunrisers Hyderabad,batter,12
Abhishek Sharma,Sunrisers Hyderabad,all-rounder,16
Abishek Porel,Delhi Capitals,batter,12
Akash Deep,Royal Challengers Bengaluru,all-rounder,1
Akash Madhwal,Mumbai Indians,all-rounder,5
Anmolpreet Singh,Sunrisers Hyderabad,batter,2
Anuj Rawat,Royal Challengers Bengaluru,batter,5
Arjun Tendulkar,Mumbai Indians,bowler,1
Arshad Khan,Lucknow Super Giants,all-rounder,3
Arshad Khan (2),Lucknow Super Giants,all-rounder,1
Arshdeep Singh,Punjab Kings,all-rounder,14
Ashutosh Sharma,Punjab Kings,batter,9
Atharva Taide,Punjab Kings,all-rounder,2
Avesh Khan,Rajasthan Royals,all-rounder,15
Azmatullah Omarzai,Gujarat Titans,all-rounder,7
B Kumar,Sunrisers Hyderabad,all-rounder,16
B Sai Sudharsan,Gujarat Titans,batter,12
BR Sharath,Gujarat Titans,batter,1
C Green,Royal Challengers Bengaluru,all-rounder,13
CV Varun,Kolkata Knight Riders,bowler,14
D Brevis,Mumbai Indians,batter,3
D Ferreira,Rajasthan Royals,batter,2
D Padikkal,Lucknow Super Giants,batter,7
DA Miller,Gujarat Titans,batter,9
DA Warner,Delhi Capitals,batter,8
DG Nalkande,Gujarat Titans,all-rounder,3
DJ Hooda,Lucknow Super Giants,all-rounder,9
DJ Mitchell,Chennai Super Kings,all-rounder,13
DL Chahar,Chennai Super Kings,bowler,8
Dhruv Jurel,Rajasthan Royals,batter,11
F du Plessis,Royal Challengers Bengaluru,batter,15
G Coetzee,Mumbai Indians,all-rounder,10
GJ Maxwell,Royal Challengers Bengaluru,all-rounder,10
Gulbadin Naib,Delhi Capitals,all-rounder,2
H Klaasen,Sunrisers Hyderabad,batter,15
H Sharma,Royal Challengers Bengaluru,bowler,1
HH Pandya,Mumbai Indians,all-rounder,14
HV Patel,Punjab Kings,all-rounder,14
Harpreet Brar,Punjab Kings,all-rounder,13
Harpreet Singh,Punjab Kings,batter,2
Harshit Rana,Kolkata Knight Riders,bowler,11
I Sharma,Delhi Capitals,all-rounder,9
Ishan Kishan,Mumbai Indians,batter,14
J Fraser-McGurk,Delhi Capitals,batter,9
J Little,Gujarat Titans,bowler,1
JA Richardson,Delhi Capitals,all-rounder,1
JC Buttler,Rajasthan Royals,batter,11
JD Unadkat,Sunrisers Hyderabad,all-rounder,11
JJ Bumrah,Mumbai Indians,all-rounder,13
JM Bairstow,Punjab Kings,batter,11
JM Sharma,Punjab Kings,batter,12
K Gowtham,Lucknow Super Giants,bowler,1
K Rabada,Punjab Kings,all-rounder,11
KA Maharaj,Rajasthan Royals,all-rounder,2
KD Karthik,Royal Challengers Bengaluru,batter,13
KH Pandya,Lucknow Super Giants,all-rounder,14
KK Ahmed,Delhi Capitals,bowler,14
KL Rahul,Lucknow Super Giants,batter,14
KR Sen,Rajasthan Royals,bowler,3
KS Williamson,Gujarat Titans,batter,2
KT Maphaka,Mumbai Indians,bowler,2
KV Sharma,Royal Challengers Bengaluru,all-rounder,9
Kartik Tyagi,Gujarat Titans,bowler,1
Kuldeep Yadav,Delhi Capitals,all-rounder,11
Kumar Kushagra,Delhi Capitals,batter,3
L Wood,Mumbai Indians,all-rounder,2
LB Williams,Delhi Capitals,all-rounder,2
LH Ferguson,Royal Challengers Bengaluru,all-rounder,7
LS Livingstone,Punjab Kings,all-rounder,7
Lalit Yadav,Delhi Capitals,all-rounder,2
