match_number,date,opponent,venue,result,margin
1,2025-03-22,Royal Challengers Bengaluru,"Eden Gardens, Kolkata",lost,by 7 wickets
6,2025-03-26,Rajasthan Royals,"Barsapara Cricket Stadium, Guwahati",won,by 8 wickets
12,2025-03-31,Mumbai Indians,"Wankhede Stadium, Mumbai",lost,by 8 wickets
15,2025-04-03,Sunrisers Hyderabad,"Eden Gardens, Kolkata",won,by 80 runs
21,2025-04-08,Lucknow Super Giants,"Eden Gardens, Kolkata",lost,by 4 runs
25,2025-04-11,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk, Chennai",won,by 8 wickets
31,2025-04-15,Punjab Kings,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",lost,by 16 runs
39,2025-04-21,Gujarat Titans,"Eden Gardens, Kolkata",lost,by 39 runs
44,2025-04-26,Punjab Kings,"Eden Gardens, Kolkata",no result,
48,2025-04-29,Delhi Capitals,"Arun Jaitley Stadium, Delhi",won,by 14 runs
53,2025-05-04,Rajasthan Royals,"Eden Gardens, Kolkata",won,by 1 runs
57,2025-05-07,Chennai Super Kings,"Eden Gardens, Kolkata",lost,by 2 wickets
68,2025-05-25,Sunrisers Hyderabad,"Arun Jaitley Stadium, Delhi",lost,by 110 runs
