match_number,date,opponent,venue,result,margin
5,2023-04-02,Mumbai Indians,"M Chinnaswamy Stadium, Bengaluru",won,by 8 wickets
9,2023-04-06,Kolkata Knight Riders,"Eden Gardens, Kolkata",lost,by 81 runs
15,2023-04-10,Lucknow Super Giants,"M Chinnaswamy Stadium, Bengaluru",lost,by 1 wickets
20,2023-04-15,Delhi Capitals,"M Chinnaswamy Stadium, Bengaluru",won,by 23 runs
24,2023-04-17,Chennai Super Kings,"M Chinnaswamy Stadium, Bengaluru",lost,by 8 runs
27,2023-04-20,Punjab Kings,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",won,by 24 runs
32,2023-04-23,Rajasthan Royals,"M Chinnaswamy Stadium, Bengaluru",won,by 7 runs
36,2023-04-26,Kolkata Knight Riders,"M Chinnaswamy Stadium, Bengaluru",lost,by 21 runs
43,2023-05-01,Lucknow Super Giants,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",won,by 18 runs
50,2023-05-06,Delhi Capitals,"Arun Jaitley Stadium, Delhi",lost,by 7 wickets
54,2023-05-09,Mumbai Indians,"Wankhede Stadium, Mumbai",lost,by 6 wickets
60,2023-05-14,Rajasthan Royals,"Sawai Mansingh Stadium, Jaipur",won,by 112 runs
65,2023-05-18,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",won,by 8 wickets
70,2023-05-21,Gujarat Titans,"M Chinnaswamy Stadium, Bengaluru",lost,by 6 wickets
