innings,team,wicket_number,batter_1,batter_1_runs,batter_1_balls,batter_2,batter_2_runs,batter_2_balls,total_runs,total_balls
1,Sunrisers Hyderabad,1,S Dhawan,15,9,DA Warner,24,18,48,27
1,Sunrisers Hyderabad,2,MC Henriques,20,21,S Dhawan,20,15,41,36
1,Sunrisers Hyderabad,3,EJG Morgan,17,12,S Dhawan,19,11,38,23
1,Sunrisers Hyderabad,4,RS Bopara,6,4,EJG Morgan,46,16,53,20
1,Sunrisers Hyderabad,5,RS Bopara,11,8,NV Ojha,8,6,21,14
2,Rajasthan Royals,1,AM Rahane,8,6,SR Watson,0,0,8,6
2,Rajasthan Royals,2,SR Watson,12,12,SPD Smith,10,6,22,18
2,Rajasthan Royals,3,SPD Smith,9,11,KK Nair,4,10,15,21
2,Rajasthan Royals,4,SPD Smith,25,12,DJ Hooda,7,9,32,21
2,Rajasthan Royals,5,JP Faulkner,18,9,SPD Smith,24,11,44,20
2,Rajasthan Royals,6,SV Samson,9,7,JP Faulkner,12,10,24,17
2,Rajasthan Royals,7,SV Samson,12,3,STR Binny,0,0,12,3
2,Rajasthan Royals,8,CH Morris,34,11,STR Binny,3,3,37,14
