position,team,played,won,lost,no_result,net_run_rate,points
1,Chennai Super Kings,16,11,5,0,0.299,22
2,Sunrisers Hyderabad,17,10,7,0,0.204,20
3,Kolkata Knight Riders,16,9,7,0,-0.01,18
4,Rajasthan Royals,15,7,8,0,-0.375,14
5,Mumbai Indians,14,6,8,0,0.317,12
6,Royal Challengers Bangalore,14,6,8,0,0.129,12
7,Kings XI Punjab,14,6,8,0,-0.524,12
8,Delhi Daredevils,14,5,9,0,-0.127,10
