player,team,role,matches
A Dananjaya,Mumbai Indians,all-rounder,1
A Mishra,Delhi Daredevils,all-rounder,10
AB de Villiers,Royal Challengers Bangalore,batter,11
AD Hales,Sunrisers Hyderabad,batter,6
AD Nath,Kings XI Punjab,batter,1
AD Russell,Kolkata Knight Riders,all-rounder,15
AJ Finch,Kings XI Punjab,batter,9
AJ Tye,Kings XI Punjab,all-rounder,14
AM Rahane,Rajasthan Royals,batter,14
AP Tare,Mumbai Indians,batter,0
AR Patel,Kings XI Punjab,all-rounder,9
AS Rajpoot,Kings XI Punjab,all-rounder,8
AT Rayudu,Chennai Super Kings,batter,16
Abhishek Sharma,Delhi Daredevils,batter,3
Ankit Sharma,Rajasthan Royals,bowler,1
Anureet Singh,Rajasthan Royals,all-rounder,3
Avesh Khan,Delhi Daredevils,bowler,6
B Kumar,Sunrisers Hyderabad,all-rounder,12
B Laughlin,Rajasthan Royals,all-rounder,7
B Stanlake,Sunrisers Hyderabad,all-rounder,4
BA Stokes,Rajasthan Royals,all-rounder,13
BB McCullum,Royal Challengers Bangalore,batter,6
BB Sran,Kings XI Punjab,all-rounder,6
BCJ Cutting,Mumbai Indians,all-rounder,9
Basil Thampi,Sunrisers Hyderabad,all-rounder,4
C Munro,Delhi Daredevils,batter,5
C de Grandhomme,Royal Challengers Bangalore,all-rounder,9
CA Lynn,Kolkata Knight Riders,batter,16
CH Gayle,Kings XI Punjab,batter,11
CH Morris,Delhi Daredevils,all-rounder,4
CJ Anderson,Royal Challengers Bangalore,all-rounder,3
CJ Dala,Delhi Daredevils,bowler,1
CJ Jordan,Sunrisers Hyderabad,bowler,1
CR Brathwaite,Sunrisers Hyderabad,all-rounder,4
CR Woakes,Royal Challengers Bangalore,all-rounder,5
DA Miller,Kings XI Punjab,batter,3
DJ Bravo,Chennai Super Kings,all-rounder,16
DJ Hooda,Sunrisers Hyderabad,all-rounder,8
DJ Willey,Chennai Super Kings,bowler,3
DJM Short,Rajasthan Royals,all-rounder,7
DL Chahar,Chennai Super Kings,all-rounder,12
DR Shorey,Chennai Super Kings,batter,1
DS Kulkarni,Rajasthan Royals,all-rounder,8
DT Christian,Delhi Daredevils,all-rounder,4
E Lewis,Mumbai Indians,batter,13
F du Plessis,Chennai Super Kings,batter,6
G Gambhir,Delhi Daredevils,batter,5
GJ Maxwell,Delhi Daredevils,all-rounder,12
H Klaasen,Rajasthan Royals,batter,4
HH Pandya,Mumbai Indians,all-rounder,13
HV Patel,Delhi Daredevils,all-rounder,5
Harbhajan Singh,Chennai Super Kings,all-rounder,13
IS Sodhi,Rajasthan Royals,all-rounder,6
Imran Tahir,Chennai Super Kings,all-rounder,6
Ishan Kishan,Mumbai Indians,batter,12
JC Archer,Rajasthan Royals,all-rounder,10
JC Buttler,Rajasthan Royals,batter,13
JD Unadkat,Rajasthan Royals,all-rounder,15
JJ Bumrah,Mumbai Indians,all-rounder,14
JJ Roy,Delhi Daredevils,batter,5
JP Duminy,Mumbai Indians,all-rounder,3
JPR Scantlebury-Searles,Kolkata Knight Riders,all-rounder,3
K Gowtham,Rajasthan Royals,all-rounder,15
K Khejroliya,Royal Challengers Bangalore,bowler,3
KA Pollard,Mumbai Indians,batter,8
KD Karthik,Kolkata Knight Riders,batter,16
KH Pandya,Mumbai Indians,all-rounder,14
KK Ahmed,Sunrisers Hyderabad,bowler,1
KK Nair,Kings XI Punjab,batter,12
KL Rahul,Kings XI Punjab,batter,14
KM Asif,Chennai Super Kings,bowler,2
KM Jadhav,Chennai Super Kings,batter,1
KS Williamson,Sunrisers Hyderabad,batter,17
KV Sharma,Chennai Super Kings,bowler,5
Kuldeep Yadav,Kolkata Knight Riders,all-rounder,16
L Ngidi,Chennai Super Kings,bowler,7
LE Plunkett,Delhi Daredevils,all-rounder,7
M Ashwin,Royal Challengers Bangalore,all-rounder,2
M Markande,Mumbai Indians,all-rounder,14
M Prasidh Krishna,Kolkata Knight Riders,all-rounder,7
M Vijay,Chennai Super Kings,batter,1
M Vohra,Royal Challengers Bangalore,batter,4
MA Agarwal,Kings XI Punjab,batter,11
MA Wood,Chennai Super Kings,all-rounder,1
MG Johnson,Kolkata Knight Riders,all-rounder,6
MJ McClenaghan,Mumbai Indians,all-rounder,11
MK Lomror,Rajasthan Royals,all-rounder,2
MK Pandey,Sunrisers Hyderabad,batter,13
MK Tiwary,Kings XI Punjab,all-rounder,4
MM Ali,Royal Challengers Bangalore,all-rounder,5
MM Sharma,Kings XI Punjab,all-rounder,9
MP Stoinis,Kings XI Punjab,all-rounder,7
MS Dhoni,Chennai Super Kings,batter,15
Mandeep Singh,Royal Challengers Bangalore,batter,13
Mohammad Nabi,Sunrisers Hyderabad,all-rounder,2
Mohammed Shami,Delhi Daredevils,all-rounder,4
Mohammed Siraj,Royal Challengers Bangalore,all-rounder,11
Mujeeb Ur Rahman,Kings XI Punjab,all-rounder,11
Mustafizur Rahman,Mumbai Indians,all-rounder,7
