match_number,date,opponent,venue,runs,balls,fours,sixes,strike_rate,dismissal,batting_position
3,2010-03-13,Delhi Daredevils,"Punjab Cricket Association Stadium, Mohali",15,14,2,0,107.14,not out,10
12,2010-03-19,Deccan Chargers,Barabati Stadium,12,5,3,0,240.0,not out,10
19,2010-03-24,Rajasthan Royals,"Punjab Cricket Association Stadium, Mohali",0,2,0,0,0.0,not out,10
