match_number,date,opponent,venue,runs,balls,fours,sixes,strike_rate,dismissal,batting_position
4,2021-04-12,Rajasthan Royals,"Wankhede Stadium, Mumbai",0,1,0,0,0.0,c C Sakariya b CH Morris,5
8,2021-04-16,Chennai Super Kings,"Wankhede Stadium, Mumbai",0,2,0,0,0.0,c SN Thakur b DL Chahar,5
11,2021-04-18,Delhi Capitals,"Wankhede Stadium, Mumbai",9,8,1,0,112.5,c K Rabada b Avesh Khan,5
14,2021-04-21,Sunrisers Hyderabad,"MA Chidambaram Stadium, Chepauk, Chennai",0,0,0,0,0.0,run out (),4
21,2021-04-26,Kolkata Knight Riders,"Narendra Modi Stadium, Ahmedabad",19,19,1,1,100.0,b CV Varun,5
26,2021-04-30,Royal Challengers Bangalore,"Narendra Modi Stadium, Ahmedabad",0,3,0,0,0.0,c Shahbaz Ahmed b KA Jamieson,4
32,2021-09-21,Rajasthan Royals,Dubai International Cricket Stadium,32,22,1,2,145.45,c SV Samson b Kartik Tyagi,4
37,2021-09-25,Sunrisers Hyderabad,Sharjah Cricket Stadium,8,4,0,1,200.0,c & b Sandeep Sharma,5
42,2021-09-28,Mumbai Indians,"Zayed Cricket Stadium, Abu Dhabi",2,3,0,0,66.67,lbw b JJ Bumrah,5
45,2021-10-01,Kolkata Knight Riders,Dubai International Cricket Stadium,12,7,0,1,171.43,c Shivam Mavi b CV Varun,3
48,2021-10-03,Royal Challengers Bangalore,Sharjah Cricket Stadium,3,7,0,0,42.86,c D Padikkal b YS Chahal,3
