match_number,date,opponent,venue,result,margin
2,2021-04-10,Chennai Super Kings,"Wankhede Stadium, Mumbai",won,by 7 wickets
7,2021-04-15,Rajasthan Royals,"Wankhede Stadium, Mumbai",lost,by 3 wickets
11,2021-04-18,Punjab Kings,"Wankhede Stadium, Mumbai",won,by 6 wickets
13,2021-04-20,Mumbai Indians,"MA Chidambaram Stadium, Chepauk, Chennai",won,by 6 wickets
20,2021-04-25,Sunrisers Hyderabad,"MA Chidambaram Stadium, Chepauk, Chennai",no result,
22,2021-04-27,Royal Challengers Bangalore,"Narendra Modi Stadium, Ahmedabad",lost,by 1 runs
25,2021-04-29,Kolkata Knight Riders,"Narendra Modi Stadium, Ahmedabad",won,by 7 wickets
29,2021-05-02,Punjab Kings,"Narendra Modi Stadium, Ahmedabad",won,by 7 wickets
33,2021-09-22,Sunrisers Hyderabad,Dubai International Cricket Stadium,won,by 8 wickets
36,2021-09-25,Rajasthan Royals,"Zayed Cricket Stadium, Abu Dhabi",won,by 33 runs
41,2021-09-28,Kolkata Knight Riders,Sharjah Cricket Stadium,lost,by 3 wickets
46,2021-10-02,Mumbai Indians,Sharjah Cricket Stadium,won,by 4 wickets
50,2021-10-04,Chennai Super Kings,Dubai International Cricket Stadium,won,by 3 wickets
56,2021-10-08,Royal Challengers Bangalore,Dubai International Cricket Stadium,lost,by 7 wickets
57,2021-10-10,Chennai Super Kings,Dubai International Cricket Stadium,lost,by 4 wickets
59,2021-10-13,Kolkata Knight Riders,Sharjah Cricket Stadium,lost,by 3 wickets
