innings,team,wicket_number,player_out,score,over
1,Punjab Kings,1,Atharva Taide,27,4.4
1,Punjab Kings,2,P Simran Singh,41,7.3
1,Punjab Kings,3,JM Bairstow,47,8.6
1,Punjab Kings,4,SM Curran,52,10.3
1,Punjab Kings,5,Shashank Singh,70,13.1
1,Punjab Kings,6,JM Sharma,103,17.1
1,Punjab Kings,7,LS Livingstone,122,18.5
1,Punjab Kings,8,Ashutosh Sharma,147,20.6
2,Rajasthan Royals,1,Tanush Kotian,56,9.2
2,Rajasthan Royals,2,YBK Jaiswal,82,12.4
2,Rajasthan Royals,3,SV Samson,89,14.2
2,Rajasthan Royals,4,R Parag,113,17.4
2,Rajasthan Royals,5,Dhruv Jurel,115,18.2
2,Rajasthan Royals,6,R Powell,136,19.3
2,Rajasthan Royals,7,KA Maharaj,138,19.6
