match_number,date,opponent,venue,runs,balls,fours,sixes,strike_rate,dismissal,batting_position
30,2008-05-09,Rajasthan Royals,Sawai Mansingh Stadium,6,8,1,0,75.0,lbw b SK Warne,7
32,2008-05-11,Kolkata Knight Riders,"Rajiv Gandhi International Stadium, Uppal",10,7,2,0,142.86,c WP Saha b Umar Gul,3
37,2008-05-15,Delhi Daredevils,Feroz Shah Kotla,9,5,0,1,180.0,c Shoaib Malik b A Mishra,7
42,2008-05-18,Mumbai Indians,"Rajiv Gandhi International Stadium, Uppal",37,27,2,3,137.04,b DJ Bravo,6
51,2008-05-25,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Uppal",7,7,1,0,100.0,b V Kohli,6
54,2008-05-27,Chennai Super Kings,"Rajiv Gandhi International Stadium, Uppal",40,28,4,1,142.86,c A Mukund b JA Morkel,5
