innings,team,phase,runs,wickets,balls,run_rate,boundaries,dots
1,Delhi Capitals,death,18,3,35,3.09,1,24
1,Delhi Capitals,middle,46,1,34,8.12,7,12
1,Delhi Capitals,powerplay,11,6,30,2.2,1,24
2,Royal Challengers Bengaluru,death,37,0,14,15.86,6,3
2,Royal Challengers Bengaluru,middle,27,1,13,12.46,4,4
2,Royal Challengers Bengaluru,powerplay,13,0,12,6.5,2,6
