match_number,opponent,batter,runs,balls,fours,sixes,strike_rate,dismissal
5,Delhi Capitals,MR Marsh,35,28,2,3,125.0,c T Stubbs b Kuldeep Yadav
5,Delhi Capitals,RR Pant,7,9,1,0,77.78,run out ()
5,Delhi Capitals,AK Markram,11,8,1,1,137.5,b AR Patel
5,Delhi Capitals,A Badoni,0,3,0,0,0.0,c KL Rahul b T Natarajan
5,Delhi Capitals,N Pooran,8,8,1,0,100.0,b L Ngidi
5,Delhi Capitals,Abdul Samad,36,25,3,1,144.0,c DA Miller b T Natarajan
5,Delhi Capitals,MD Choudhary,14,11,2,0,127.27,c & b Kuldeep Yadav
5,Delhi Capitals,Shahbaz Ahmed,15,16,1,0,93.75,not out
5,Delhi Capitals,Mohammed Shami,1,2,0,0,50.0,c Kuldeep Yadav b T Natarajan
5,Delhi Capitals,A Nortje,0,1,0,0,0.0,c T Stubbs b L Ngidi
5,Delhi Capitals,Mohsin Khan,0,1,0,0,0.0,c Mukesh Kumar b L Ngidi
10,Sunrisers Hyderabad,AK Markram,45,27,6,2,166.67,c LS Livingstone b Shivang Kumar
10,Sunrisers Hyderabad,MR Marsh,14,12,2,0,116.67,c Nithish Kumar Reddy b E Malinga
10,Sunrisers Hyderabad,RR Pant,68,50,9,0,136.0,not out
10,Sunrisers Hyderabad,A Badoni,12,9,1,0,133.33,st Ishan Kishan b Harsh Dubey
10,Sunrisers Hyderabad,N Pooran,1,4,0,0,25.0,run out (Ishan Kishan)
10,Sunrisers Hyderabad,Abdul Samad,16,12,2,0,133.33,c LS Livingstone b Harsh Dubey
10,Sunrisers Hyderabad,MD Choudhary,2,5,0,0,40.0,not out
15,Kolkata Knight Riders,MR Marsh,15,11,1,1,136.36,c A Raghuvanshi b VG Arora
15,Kolkata Knight Riders,AK Markram,22,15,2,1,146.67,c R Powell b VG Arora
15,Kolkata Knight Riders,RR Pant,10,9,1,0,111.11,c Kartik Tyagi b C Green
15,Kolkata Knight Riders,A Badoni,54,34,7,2,158.82,c RK Singh b AS Roy
15,Kolkata Knight Riders,N Pooran,13,15,0,1,86.67,c Ramandeep Singh b Kartik Tyagi
15,Kolkata Knight Riders,Abdul Samad,2,4,0,0,50.0,b AS Roy
15,Kolkata Knight Riders,MD Choudhary,54,27,2,7,200.0,not out
15,Kolkata Knight Riders,Mohammed Shami,1,3,0,0,33.33,c AS Roy b SP Narine
15,Kolkata Knight Riders,Avesh Khan,1,3,0,0,33.33,not out
19,Gujarat Titans,AK Markram,30,21,5,1,142.86,c Washington Sundar b M Prasidh Krishna
19,Gujarat Titans,MR Marsh,11,4,1,1,275.0,c Shubman Gill b K Rabada
19,Gujarat Titans,RR Pant,18,11,2,1,163.64,c R Tewatia b Mohammed Siraj
19,Gujarat Titans,A Badoni,9,11,1,0,81.82,c GD Phillips b M Prasidh Krishna
19,Gujarat Titans,N Pooran,19,21,0,2,90.48,c Shubman Gill b M Prasidh Krishna
19,Gujarat Titans,Abdul Samad,18,22,2,0,81.82,c GD Phillips b Ashok Sharma
19,Gujarat Titans,MD Choudhary,18,14,1,1,128.57,c JC Buttler b M Prasidh Krishna
19,Gujarat Titans,GF Linde,16,10,3,0,160.0,c M Shahrukh Khan b Ashok Sharma
19,Gujarat Titans,Mohammed Shami,12,5,1,1,240.0,not out
19,Gujarat Titans,Avesh Khan,4,1,1,0,400.0,not out
23,Royal Challengers Bengaluru,MR Marsh,40,32,3,2,125.0,b KH Pandya
23,Royal Challengers Bengaluru,AK Markram,12,8,0,1,150.0,c D Padikkal b Rasikh Salam
23,Royal Challengers Bengaluru,RR Pant,1,6,0,0,16.67,c PD Salt b B Kumar
23,Royal Challengers Bengaluru,N Pooran,1,7,0,0,14.29,b JR Hazlewood
23,Royal Challengers Bengaluru,A Badoni,38,24,4,1,158.33,c JM Sharma b Rasikh Salam
23,Royal Challengers Bengaluru,Abdul Samad,0,2,0,0,0.0,c RM Patidar b KH Pandya
23,Royal Challengers Bengaluru,MD Choudhary,39,28,3,2,139.29,b Rasikh Salam
23,Royal Challengers Bengaluru,GF Linde,7,7,1,0,100.0,c TH David b B Kumar
23,Royal Challengers Bengaluru,Mohammed Shami,0,1,0,0,0.0,b B Kumar
23,Royal Challengers Bengaluru,Avesh Khan,1,2,0,0,50.0,b Rasikh Salam
23,Royal Challengers Bengaluru,DS Rathi,0,3,0,0,0.0,not out
