innings,over,ball,team,player_in,player_out,reason
2,1,1,Gujarat Titans,B Sai Sudharsan,M Prasidh Krishna,impact_player
2,1,1,Delhi Capitals,PVD Chameera,Ashutosh Sharma,impact_player
