match_number,date,opponent,venue,result,margin
2,2019-03-24,Sunrisers Hyderabad,Eden Gardens,won,by 6 wickets
6,2019-03-27,Kings XI Punjab,Eden Gardens,won,by 28 runs
10,2019-03-30,Delhi Capitals,Arun Jaitley Stadium,no result,
17,2019-04-05,Royal Challengers Bangalore,M.Chinnaswamy Stadium,won,by 5 wickets
21,2019-04-07,Rajasthan Royals,Sawai Mansingh Stadium,won,by 8 wickets
23,2019-04-09,Chennai Super Kings,MA Chidambaram Stadium,lost,by 7 wickets
26,2019-04-12,Delhi Capitals,Eden Gardens,lost,by 7 wickets
29,2019-04-14,Chennai Super Kings,Eden Gardens,lost,by 5 wickets
35,2019-04-19,Royal Challengers Bangalore,Eden Gardens,lost,by 10 runs
38,2019-04-21,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,lost,by 9 wickets
43,2019-04-25,Rajasthan Royals,Eden Gardens,lost,by 3 wickets
47,2019-04-28,Mumbai Indians,Eden Gardens,won,by 34 runs
52,2019-05-03,Kings XI Punjab,Punjab Cricket Association IS Bindra Stadium,won,by 7 wickets
56,2019-05-05,Mumbai Indians,Wankhede Stadium,lost,by 9 wickets
