match_number,date,opponent,venue,result,margin
4,2010-03-14,Kolkata Knight Riders,Eden Gardens,lost,by 7 wickets
7,2010-03-16,Kings XI Punjab,M Chinnaswamy Stadium,won,by 8 wickets
10,2010-03-18,Rajasthan Royals,M Chinnaswamy Stadium,won,by 10 wickets
14,2010-03-20,Mumbai Indians,Brabourne Stadium,won,by 7 wickets
18,2010-03-23,Chennai Super Kings,M Chinnaswamy Stadium,won,by 36 runs
20,2010-03-25,Delhi Daredevils,M Chinnaswamy Stadium,lost,by 17 runs
28,2010-03-31,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",lost,by 5 wickets
31,2010-04-02,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",won,by 6 wickets
35,2010-04-04,Delhi Daredevils,Feroz Shah Kotla,lost,by 37 runs
40,2010-04-08,Deccan Chargers,M Chinnaswamy Stadium,lost,by 7 wickets
43,2010-04-10,Kolkata Knight Riders,M Chinnaswamy Stadium,won,by 7 wickets
46,2010-04-12,Deccan Chargers,"Vidarbha Cricket Association Stadium, Jamtha",lost,by 13 runs
49,2010-04-14,Rajasthan Royals,Sawai Mansingh Stadium,won,by 5 wickets
52,2010-04-17,Mumbai Indians,M Chinnaswamy Stadium,lost,by 57 runs
57,2010-04-21,Mumbai Indians,Dr DY Patil Sports Academy,lost,by 35 runs
59,2010-04-24,Deccan Chargers,Dr DY Patil Sports Academy,won,by 9 wickets
