match_number,date,opponent,venue,result,margin
6,2012-04-07,Chennai Super Kings,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,lost,by 74 runs
9,2012-04-09,Mumbai Indians,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,lost,by 5 wickets
20,2012-04-17,Rajasthan Royals,Sawai Mansingh Stadium,lost,by 5 wickets
23,2012-04-19,Delhi Daredevils,Feroz Shah Kotla,lost,by 5 wickets
29,2012-04-22,Kolkata Knight Riders,Barabati Stadium,lost,by 5 wickets
35,2012-04-26,Pune Warriors,Subrata Roy Sahara Stadium,won,by 18 runs
40,2012-04-29,Mumbai Indians,Wankhede Stadium,lost,by 5 wickets
42,2012-05-01,Pune Warriors,Barabati Stadium,won,by 13 runs
46,2012-05-04,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",lost,by 10 runs
50,2012-05-06,Royal Challengers Bangalore,M Chinnaswamy Stadium,lost,by 5 wickets
53,2012-05-08,Kings XI Punjab,"Rajiv Gandhi International Stadium, Uppal",lost,by 25 runs
55,2012-05-10,Delhi Daredevils,"Rajiv Gandhi International Stadium, Uppal",lost,by 9 wickets
61,2012-05-13,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",lost,by 4 wickets
68,2012-05-18,Rajasthan Royals,"Rajiv Gandhi International Stadium, Uppal",won,by 5 wickets
71,2012-05-20,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Uppal",won,by 9 runs
