innings,team,wicket_number,player_out,score,over
1,Royal Challengers Bangalore,1,F du Plessis,11,2.5
1,Royal Challengers Bangalore,2,RM Patidar,110,15.1
1,Royal Challengers Bangalore,3,V Kohli,129,17.4
1,Royal Challengers Bangalore,4,KD Karthik,138,18.3
1,Royal Challengers Bangalore,5,GJ Maxwell,150,19.3
1,Royal Challengers Bangalore,6,MK Lomror,170,20.6
2,Gujarat Titans,1,WP Saha,51,8.3
2,Gujarat Titans,2,Shubman Gill,68,9.5
2,Gujarat Titans,3,HH Pandya,78,11.2
2,Gujarat Titans,4,B Sai Sudharsan,95,13.5
