match_number,date,opponent,venue,runs,balls,fours,sixes,strike_rate,dismissal,batting_position
3,2018-04-08,Royal Challengers Bangalore,Eden Gardens,50,19,4,5,263.16,b UT Yadav,1
5,2018-04-10,Chennai Super Kings,MA Chidambaram Stadium,12,4,0,2,300.0,c SK Raina b Harbhajan Singh,2
10,2018-04-14,Sunrisers Hyderabad,Eden Gardens,9,10,1,0,90.0,c KS Williamson b Shakib Al Hasan,4
13,2018-04-16,Delhi Daredevils,Eden Gardens,1,4,0,0,25.0,c GJ Maxwell b TA Boult,2
15,2018-04-18,Rajasthan Royals,Sawai Mansingh Stadium,35,25,5,1,140.0,run out (),1
18,2018-04-21,Kings XI Punjab,Eden Gardens,1,4,0,0,25.0,c KK Nair b Mujeeb Ur Rahman,2
26,2018-04-27,Delhi Daredevils,Arun Jaitley Stadium,26,9,1,3,288.89,c SS Iyer b TA Boult,2
29,2018-04-29,Royal Challengers Bangalore,M.Chinnaswamy Stadium,27,19,3,1,142.11,c C de Grandhomme b M Ashwin,2
33,2018-05-03,Chennai Super Kings,Eden Gardens,32,20,4,2,160.0,c DJ Bravo b RA Jadeja,2
37,2018-05-06,Mumbai Indians,Wankhede Stadium,5,4,1,0,125.0,c RG Sharma b KH Pandya,7
41,2018-05-09,Mumbai Indians,Eden Gardens,4,2,1,0,200.0,c KH Pandya b MJ McClenaghan,1
44,2018-05-12,Kings XI Punjab,Holkar Cricket Stadium,75,36,9,4,208.33,c KL Rahul b AJ Tye,2
49,2018-05-15,Rajasthan Royals,Eden Gardens,21,7,2,2,300.0,c K Gowtham b BA Stokes,1
54,2018-05-19,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,29,10,4,2,290.0,c MK Pandey b Shakib Al Hasan,2
58,2018-05-23,Rajasthan Royals,Eden Gardens,4,2,1,0,200.0,st H Klaasen b K Gowtham,1
59,2018-05-25,Sunrisers Hyderabad,Eden Gardens,26,13,4,1,200.0,c CR Brathwaite b S Kaul,2
