match_number,date,opponent,venue,result,margin
2,2020-09-20,Delhi Capitals,Dubai International Cricket Stadium,no result,
6,2020-09-24,Royal Challengers Bangalore,Dubai International Cricket Stadium,won,by 97 runs
9,2020-09-27,Rajasthan Royals,Sharjah Cricket Stadium,lost,by 4 wickets
13,2020-10-01,Mumbai Indians,Sheikh Zayed Stadium,lost,by 48 runs
18,2020-10-04,Chennai Super Kings,Dubai International Cricket Stadium,lost,by 10 wickets
22,2020-10-08,Sunrisers Hyderabad,Dubai International Cricket Stadium,lost,by 69 runs
24,2020-10-10,Kolkata Knight Riders,Sheikh Zayed Stadium,lost,by 2 runs
31,2020-10-15,Royal Challengers Bangalore,Sharjah Cricket Stadium,won,by 8 wickets
36,2020-10-18,Mumbai Indians,Dubai International Cricket Stadium,no result,
38,2020-10-20,Delhi Capitals,Dubai International Cricket Stadium,won,by 5 wickets
43,2020-10-24,Sunrisers Hyderabad,Dubai International Cricket Stadium,won,by 12 runs
46,2020-10-26,Kolkata Knight Riders,Sharjah Cricket Stadium,won,by 8 wickets
50,2020-10-30,Rajasthan Royals,Sheikh Zayed Stadium,lost,by 7 wickets
53,2020-11-01,Chennai Super Kings,Sheikh Zayed Stadium,lost,by 9 wickets
