match_number,date,opponent,venue,runs,balls,fours,sixes,strike_rate,dismissal,batting_position
1,2008-04-18,Kolkata Knight Riders,M Chinnaswamy Stadium,7,9,1,0,77.78,c M Kartik b SC Ganguly,6
5,2008-04-20,Mumbai Indians,Wankhede Stadium,39,19,4,2,205.26,not out,6
12,2008-04-26,Rajasthan Royals,M Chinnaswamy Stadium,4,10,0,0,40.0,c M Rawat b SK Warne,6
15,2008-04-28,Chennai Super Kings,M Chinnaswamy Stadium,4,6,0,0,66.67,c MEK Hussey b MS Gony,5
17,2008-04-30,Delhi Daredevils,Feroz Shah Kotla,31,17,2,2,182.35,not out,6
21,2008-05-03,Deccan Chargers,M Chinnaswamy Stadium,16,14,2,0,114.29,b RP Singh,7
29,2008-05-08,Kolkata Knight Riders,Eden Gardens,50,40,5,1,125.0,not out,3
34,2008-05-12,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",39,32,4,1,121.88,"run out (PP Chawla, U Kaul)",6
46,2008-05-21,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",17,15,3,0,113.33,lbw b JA Morkel,6
55,2008-05-28,Mumbai Indians,M Chinnaswamy Stadium,18,15,3,0,120.0,c RV Uthappa b CRD Fernando,1
