innings,team,wicket_number,player_out,score,over
1,Punjab Kings,1,Atharva Taide,97,10.1
1,Punjab Kings,2,P Simran Singh,151,15.2
1,Punjab Kings,3,Shashank Singh,174,16.6
1,Punjab Kings,4,RR Rossouw,181,18.2
1,Punjab Kings,5,Ashutosh Sharma,187,19.1
2,Sunrisers Hyderabad,1,TM Head,0,1.1
2,Sunrisers Hyderabad,2,RA Tripathi,72,5.6
2,Sunrisers Hyderabad,3,Abhishek Sharma,129,11.1
2,Sunrisers Hyderabad,4,Nithish Kumar Reddy,176,14.6
2,Sunrisers Hyderabad,5,Shahbaz Ahmed,197,17.5
2,Sunrisers Hyderabad,6,H Klaasen,208,19.2
