innings,team,wicket_number,player_out,score,over
1,Royal Challengers Bangalore,1,V Kohli,6,3.3
1,Royal Challengers Bangalore,2,CH Gayle,38,8.4
1,Royal Challengers Bangalore,3,VH Zol,40,9.1
1,Royal Challengers Bangalore,4,Yuvraj Singh,172,19.6
1,Royal Challengers Bangalore,5,AB de Villiers,186,20.4
2,Rajasthan Royals,1,AM Rahane,54,8.1
2,Rajasthan Royals,2,SR Watson,61,9.3
2,Rajasthan Royals,3,STR Binny,63,9.6
2,Rajasthan Royals,4,SV Samson,82,11.6
2,Rajasthan Royals,5,KK Nair,106,14.3
