innings,team,wicket_number,batter_1,batter_1_runs,batter_1_balls,batter_2,batter_2_runs,batter_2_balls,total_runs,total_balls
1,Royal Challengers Bangalore,1,V Kohli,4,9,CH Gayle,2,6,6,15
1,Royal Challengers Bangalore,2,VH Zol,15,12,CH Gayle,17,19,32,31
1,Royal Challengers Bangalore,3,AB de Villiers,1,1,VH Zol,1,2,2,3
1,Royal Challengers Bangalore,4,Yuvraj Singh,83,38,AB de Villiers,43,27,132,65
1,Royal Challengers Bangalore,5,AB de Villiers,14,4,JA Morkel,0,0,14,4
1,Royal Challengers Bangalore,6,JA Morkel,1,1,PA Patel,2,1,4,2
2,Rajasthan Royals,1,AM Rahane,24,22,KK Nair,28,21,54,43
2,Rajasthan Royals,2,SR Watson,1,5,KK Nair,6,3,7,8
2,Rajasthan Royals,3,STR Binny,1,2,KK Nair,1,1,2,3
2,Rajasthan Royals,4,SV Samson,13,8,KK Nair,6,4,19,12
2,Rajasthan Royals,5,KK Nair,15,10,SPD Smith,9,5,24,15
2,Rajasthan Royals,6,JP Faulkner,41,17,SPD Smith,39,16,85,32
