match_number,date,opponent,catches,stumpings,run_outs
1,2014-04-16,Kolkata Knight Riders,2,0,0
22,2014-05-03,Kings XI Punjab,0,0,1
27,2014-05-06,Royal Challengers Bangalore,1,0,0
36,2014-05-12,Sunrisers Hyderabad,0,0,1
44,2014-05-19,Rajasthan Royals,1,0,0
48,2014-05-21,Kings XI Punjab,1,0,0
