innings,team,wicket_number,player_out,score,over
1,Kings XI Punjab,1,AC Gilchrist,5,2.2
1,Kings XI Punjab,2,Mandeep Singh,8,2.6
1,Kings XI Punjab,3,M Vohra,10,4.3
1,Kings XI Punjab,4,Gurkeerat Singh,45,9.4
1,Kings XI Punjab,5,R Sathish,67,12.4
1,Kings XI Punjab,6,DJ Hussey,75,13.5
1,Kings XI Punjab,7,PP Chawla,92,16.6
1,Kings XI Punjab,8,Azhar Mahmood,104,18.3
1,Kings XI Punjab,9,P Kumar,124,19.4
1,Kings XI Punjab,10,P Awana,124,19.5
2,Rajasthan Royals,1,SR Watson,43,5.4
2,Rajasthan Royals,2,R Dravid,58,8.1
2,Rajasthan Royals,3,STR Binny,58,8.5
2,Rajasthan Royals,4,BJ Hodge,79,13.5
