match_number,date,opponent,venue,overs,maidens,runs,wickets,economy,dots,wides,noballs
2,2025-03-23,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",4.0,0,76,0,19.0,1,2,1
6,2025-03-26,Kolkata Knight Riders,"Barsapara Cricket Stadium, Guwahati",2.3,0,33,0,13.2,7,4,0
11,2025-03-30,Chennai Super Kings,"Barsapara Cricket Stadium, Guwahati",3.0,1,13,1,4.33,13,0,0
18,2025-04-05,Punjab Kings,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",4.0,0,25,3,6.25,12,1,0
23,2025-04-09,Gujarat Titans,"Narendra Modi Stadium, Ahmedabad",4.0,0,30,1,7.5,9,2,0
28,2025-04-13,Royal Challengers Bengaluru,"Sawai Mansingh Stadium, Jaipur",4.0,0,36,0,9.0,11,2,1
32,2025-04-16,Delhi Capitals,"Arun Jaitley Stadium, Delhi",4.0,0,32,2,8.0,9,2,0
36,2025-04-19,Lucknow Super Giants,"Sawai Mansingh Stadium, Jaipur",4.0,0,32,1,8.0,7,1,0
42,2025-04-24,Royal Challengers Bengaluru,"M Chinnaswamy Stadium, Bengaluru",4.0,0,33,1,8.25,12,2,0
47,2025-04-28,Gujarat Titans,"Sawai Mansingh Stadium, Jaipur",4.0,0,49,1,12.25,6,0,0
50,2025-05-01,Mumbai Indians,"Sawai Mansingh Stadium, Jaipur",4.0,0,42,0,10.5,6,0,0
53,2025-05-04,Kolkata Knight Riders,"Eden Gardens, Kolkata",4.0,0,30,1,7.5,10,1,0
