innings,over,ball,team,player_in,player_out,reason
2,1,1,Chennai Super Kings,Akash Singh,AT Rayudu,impact_player
2,17,6,Royal Challengers Bangalore,SS Prabhudessai,Mohammed Siraj,impact_player
