match_number,date,opponent,venue,runs,balls,fours,sixes,strike_rate,dismissal,batting_position
2,2021-04-10,Chennai Super Kings,"Wankhede Stadium, Mumbai",15,12,2,0,125.0,not out,3
7,2021-04-15,Rajasthan Royals,"Wankhede Stadium, Mumbai",51,32,9,0,159.38,run out (),4
11,2021-04-18,Punjab Kings,"Wankhede Stadium, Mumbai",15,16,0,1,93.75,c DJ Hooda b JA Richardson,4
13,2021-04-20,Mumbai Indians,"MA Chidambaram Stadium, Chepauk, Chennai",7,8,1,0,87.5,c KH Pandya b JJ Bumrah,5
20,2021-04-25,Sunrisers Hyderabad,"MA Chidambaram Stadium, Chepauk, Chennai",37,27,4,1,137.04,c J Suchith b S Kaul,3
22,2021-04-27,Royal Challengers Bangalore,"Narendra Modi Stadium, Ahmedabad",58,48,6,0,120.83,not out,4
25,2021-04-29,Kolkata Knight Riders,"Narendra Modi Stadium, Ahmedabad",16,8,2,1,200.0,c Shivam Mavi b PJ Cummins,3
29,2021-05-02,Punjab Kings,"Narendra Modi Stadium, Ahmedabad",14,11,1,1,127.27,c MA Agarwal b CJ Jordan,4
33,2021-09-22,Sunrisers Hyderabad,Dubai International Cricket Stadium,35,21,3,2,166.67,not out,4
36,2021-09-25,Rajasthan Royals,"Zayed Cricket Stadium, Abu Dhabi",24,24,2,0,100.0,b Mustafizur Rahman,4
41,2021-09-28,Kolkata Knight Riders,Sharjah Cricket Stadium,39,36,3,0,108.33,"run out (KK Nair, KD Karthik)",4
46,2021-10-02,Mumbai Indians,Sharjah Cricket Stadium,26,22,3,1,118.18,c HH Pandya b J Yadav,4
50,2021-10-04,Chennai Super Kings,Dubai International Cricket Stadium,15,12,1,1,125.0,c MM Ali b RA Jadeja,4
56,2021-10-08,Royal Challengers Bangalore,Dubai International Cricket Stadium,10,8,1,0,125.0,c KS Bharat b DT Christian,3
57,2021-10-10,Chennai Super Kings,Dubai International Cricket Stadium,51,35,3,2,145.71,not out,5
59,2021-10-13,Kolkata Knight Riders,Sharjah Cricket Stadium,6,6,1,0,100.0,c RA Tripathi b LH Ferguson,5
