match_number,date,opponent,venue,runs,balls,fours,sixes,strike_rate,dismissal,batting_position
9,2026-04-04,Rajasthan Royals,"Narendra Modi Stadium, Ahmedabad",4,2,1,0,200.0,c RA Jadeja b Ravi Bishnoi,5
14,2026-04-08,Delhi Capitals,"Arun Jaitley Stadium, Delhi",55,32,6,2,171.88,c N Rana b Mukesh Kumar,4
