innings,team,wicket_number,player_out,score,over
1,Rajasthan Royals,1,YBK Jaiswal,17,3.6
1,Rajasthan Royals,2,SV Samson,167,17.4
1,Rajasthan Royals,3,JC Buttler,209,19.6
2,Sunrisers Hyderabad,1,MK Pandey,57,7.1
2,Sunrisers Hyderabad,2,JM Bairstow,70,8.6
2,Sunrisers Hyderabad,3,V Shankar,85,11.4
2,Sunrisers Hyderabad,4,KS Williamson,105,13.5
2,Sunrisers Hyderabad,5,Mohammad Nabi,127,15.2
2,Sunrisers Hyderabad,6,Abdul Samad,142,17.3
2,Sunrisers Hyderabad,7,KM Jadhav,142,17.6
2,Sunrisers Hyderabad,8,Rashid Khan,143,18.2
