match_number,date,opponent,venue,result,margin
5,2011-04-10,Kings XI Punjab,Dr DY Patil Sports Academy,won,by 7 wickets
10,2011-04-13,Kochi Tuskers Kerala,Dr DY Patil Sports Academy,won,by 4 wickets
16,2011-04-17,Delhi Daredevils,Dr DY Patil Sports Academy,lost,by 3 wickets
21,2011-04-20,Mumbai Indians,Wankhede Stadium,lost,by 7 wickets
29,2011-04-25,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",lost,by 25 runs
31,2011-04-27,Chennai Super Kings,Dr DY Patil Sports Academy,lost,by 8 wickets
35,2011-04-29,Royal Challengers Bangalore,M Chinnaswamy Stadium,lost,by 26 runs
38,2011-05-01,Rajasthan Royals,Sawai Mansingh Stadium,lost,by 6 wickets
44,2011-05-04,Mumbai Indians,Dr DY Patil Sports Academy,lost,by 21 runs
51,2011-05-08,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",won,by 5 wickets
53,2011-05-10,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal",won,by 6 wickets
62,2011-05-16,Deccan Chargers,Dr DY Patil Sports Academy,lost,by 6 wickets
65,2011-05-19,Kolkata Knight Riders,Dr DY Patil Sports Academy,lost,by 7 wickets
68,2011-05-21,Delhi Daredevils,Feroz Shah Kotla,no result,
