match_number,date,opponent,venue,result,margin
2,2024-03-23,Punjab Kings,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",lost,by 4 wickets
9,2024-03-28,Rajasthan Royals,"Sawai Mansingh Stadium, Jaipur",lost,by 12 runs
13,2024-03-31,Chennai Super Kings,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",won,by 20 runs
16,2024-04-03,Kolkata Knight Riders,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",lost,by 106 runs
20,2024-04-07,Mumbai Indians,"Wankhede Stadium, Mumbai",lost,by 29 runs
26,2024-04-12,Lucknow Super Giants,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",won,by 6 wickets
32,2024-04-17,Gujarat Titans,"Narendra Modi Stadium, Ahmedabad",won,by 6 wickets
35,2024-04-20,Sunrisers Hyderabad,"Arun Jaitley Stadium, Delhi",lost,by 67 runs
40,2024-04-24,Gujarat Titans,"Arun Jaitley Stadium, Delhi",won,by 4 runs
43,2024-04-27,Mumbai Indians,"Arun Jaitley Stadium, Delhi",won,by 10 runs
47,2024-04-29,Kolkata Knight Riders,"Eden Gardens, Kolkata",lost,by 7 wickets
56,2024-05-07,Rajasthan Royals,"Arun Jaitley Stadium, Delhi",won,by 20 runs
62,2024-05-12,Royal Challengers Bengaluru,"M Chinnaswamy Stadium, Bengaluru",lost,by 47 runs
64,2024-05-14,Lucknow Super Giants,"Arun Jaitley Stadium, Delhi",won,by 19 runs
