match_number,date,opponent,venue,result,margin
3,2023-04-01,Lucknow Super Giants,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",lost,by 50 runs
7,2023-04-04,Gujarat Titans,"Arun Jaitley Stadium, Delhi",lost,by 6 wickets
11,2023-04-08,Rajasthan Royals,"Barsapara Cricket Stadium, Guwahati",lost,by 57 runs
16,2023-04-11,Mumbai Indians,"Arun Jaitley Stadium, Delhi",lost,by 6 wickets
20,2023-04-15,Royal Challengers Bangalore,"M Chinnaswamy Stadium, Bengaluru",lost,by 23 runs
28,2023-04-20,Kolkata Knight Riders,"Arun Jaitley Stadium, Delhi",won,by 4 wickets
34,2023-04-24,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",won,by 7 runs
40,2023-04-29,Sunrisers Hyderabad,"Arun Jaitley Stadium, Delhi",lost,by 9 runs
44,2023-05-02,Gujarat Titans,"Narendra Modi Stadium, Ahmedabad",won,by 5 runs
50,2023-05-06,Royal Challengers Bangalore,"Arun Jaitley Stadium, Delhi",won,by 7 wickets
55,2023-05-10,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk, Chennai",lost,by 27 runs
59,2023-05-13,Punjab Kings,"Arun Jaitley Stadium, Delhi",lost,by 31 runs
64,2023-05-17,Punjab Kings,"Himachal Pradesh Cricket Association Stadium, Dharamsala",won,by 15 runs
67,2023-05-20,Chennai Super Kings,"Arun Jaitley Stadium, Delhi",lost,by 77 runs
