match_number,date,opponent,venue,overs,maidens,runs,wickets,economy,dots,wides,noballs
2,2008-04-19,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",4.0,0,33,1,8.25,5,1,0
8,2008-04-23,Mumbai Indians,"MA Chidambaram Stadium, Chepauk",4.0,0,40,2,10.0,5,4,0
11,2008-04-26,Kolkata Knight Riders,"MA Chidambaram Stadium, Chepauk",4.0,0,12,0,3.0,14,3,0
20,2008-05-02,Delhi Daredevils,"MA Chidambaram Stadium, Chepauk",4.0,0,27,0,6.75,9,0,1
24,2008-05-04,Rajasthan Royals,Sawai Mansingh Stadium,4.0,0,20,1,5.0,13,2,0
26,2008-05-06,Deccan Chargers,"MA Chidambaram Stadium, Chepauk",4.0,0,24,1,6.0,11,1,0
28,2008-05-08,Delhi Daredevils,Feroz Shah Kotla,4.0,0,25,0,6.25,6,3,0
31,2008-05-10,Kings XI Punjab,"MA Chidambaram Stadium, Chepauk",4.0,0,32,1,8.0,9,1,0
36,2008-05-14,Mumbai Indians,Wankhede Stadium,2.0,0,20,0,10.0,3,1,0
41,2008-05-18,Kolkata Knight Riders,Eden Gardens,4.0,0,41,0,10.25,6,0,0
46,2008-05-21,Royal Challengers Bangalore,"MA Chidambaram Stadium, Chepauk",4.0,0,19,1,4.75,11,0,0
49,2008-05-24,Rajasthan Royals,"MA Chidambaram Stadium, Chepauk",4.0,0,31,0,7.75,7,1,0
54,2008-05-27,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal",4.0,0,22,1,5.5,8,2,0
58,2008-05-31,Kings XI Punjab,Wankhede Stadium,4.0,0,19,1,4.75,12,1,0
59,2008-06-01,Rajasthan Royals,Dr DY Patil Sports Academy,4.0,0,39,2,9.75,8,0,0
