innings,team,wicket_number,player_out,score,over
1,Pune Warriors,1,JD Ryder,16,4.3
1,Pune Warriors,2,M Manhas,17,4.5
1,Pune Warriors,3,TD Paine,17,5.2
1,Pune Warriors,4,Yuvraj Singh,17,5.4
1,Pune Warriors,5,MD Mishra,52,9.3
1,Pune Warriors,6,M Kartik,87,13.6
1,Pune Warriors,7,RV Uthappa,98,15.2
1,Pune Warriors,8,WD Parnell,111,16.6
1,Pune Warriors,9,SB Wagh,118,17.4
1,Pune Warriors,10,R Sharma,118,18.2
2,Mumbai Indians,1,JEC Franklin,9,2.4
2,Mumbai Indians,2,SR Tendulkar,83,14.4
2,Mumbai Indians,3,AT Rayudu,89,15.6
