innings,team,wicket_number,player_out,score,over
1,Punjab Kings,1,P Simran Singh,23,2.6
1,Punjab Kings,2,PBB Rajapaksa,109,11.6
1,Punjab Kings,3,JM Sharma,135,14.3
1,Punjab Kings,4,S Dhawan,143,15.3
1,Punjab Kings,5,Sikandar Raza,168,18.5
2,Kolkata Knight Riders,1,Mandeep Singh,13,2.1
2,Kolkata Knight Riders,2,AS Roy,17,2.6
2,Kolkata Knight Riders,3,Rahmanullah Gurbaz,29,5.2
2,Kolkata Knight Riders,4,N Rana,75,10.2
2,Kolkata Knight Riders,5,RK Singh,80,11.1
2,Kolkata Knight Riders,6,AD Russell,130,15.5
2,Kolkata Knight Riders,7,VR Iyer,138,16.3
