innings,team,wicket_number,batter_1,batter_1_runs,batter_1_balls,batter_2,batter_2_runs,batter_2_balls,extras,total_runs,total_balls
1,Lucknow Super Giants,1,MR Marsh,76,32,AA Kulkarni,17,24,2,95,56
1,Lucknow Super Giants,2,N Pooran,29,17,MR Marsh,35,24,6,70,41
1,Lucknow Super Giants,3,RR Pant,18,7,N Pooran,9,6,2,29,13
1,Lucknow Super Giants,4,AK Markram,1,1,RR Pant,14,3,0,15,4
2,Royal Challengers Bengaluru,1,JG Bethell,4,5,V Kohli,0,0,5,9,5
2,Royal Challengers Bengaluru,2,D Padikkal,0,1,V Kohli,0,2,0,0,3
2,Royal Challengers Bengaluru,3,RM Patidar,60,29,D Padikkal,34,24,1,95,53
2,Royal Challengers Bengaluru,4,JM Sharma,1,3,RM Patidar,1,1,0,2,4
2,Royal Challengers Bengaluru,5,TH David,6,3,RM Patidar,0,1,0,6,4
2,Royal Challengers Bengaluru,6,KH Pandya,9,10,TH David,34,14,3,46,24
2,Royal Challengers Bengaluru,7,R Shepherd,23,15,KH Pandya,19,6,3,45,21
