match_number,date,opponent,venue,runs,balls,fours,sixes,strike_rate,dismissal,batting_position
11,2013-04-10,Chennai Super Kings,"Punjab Cricket Association Stadium, Mohali",4,5,1,0,80.0,c M Vijay b DJ Bravo,8
18,2013-04-14,Rajasthan Royals,Sawai Mansingh Stadium,7,9,0,0,77.78,c AM Rahane b KK Cooper,8
20,2013-04-16,Kolkata Knight Riders,"Punjab Cricket Association Stadium, Mohali",11,8,2,0,137.5,not out,9
25,2013-04-19,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",23,15,1,2,153.33,"run out (PA Reddy, NLTC Perera)",5
32,2013-04-23,Delhi Daredevils,Feroz Shah Kotla,5,3,1,0,166.67,not out,7
35,2013-04-26,Kolkata Knight Riders,Eden Gardens,0,2,0,0,0.0,not out,8
41,2013-04-29,Mumbai Indians,Wankhede Stadium,12,10,0,1,120.0,c AT Rayudu b DS Kulkarni,9
55,2013-05-09,Rajasthan Royals,"Punjab Cricket Association Stadium, Mohali",1,1,0,0,100.0,not out,8
59,2013-05-11,Sunrisers Hyderabad,"Punjab Cricket Association Stadium, Mohali",0,2,0,0,0.0,c S Dhawan b NLTC Perera,7
69,2013-05-18,Mumbai Indians,Himachal Pradesh Cricket Association Stadium,1,2,0,0,50.0,"run out (GJ Maxwell, KD Karthik)",8
