match_number,date,opponent,venue,runs,balls,fours,sixes,strike_rate,dismissal,batting_position
5,2020-09-23,Mumbai Indians,Sheikh Zayed Stadium,30,23,5,0,130.43,lbw b RD Chahar,3
8,2020-09-26,Sunrisers Hyderabad,Sheikh Zayed Stadium,0,3,0,0,0.0,lbw b Rashid Khan,4
12,2020-09-30,Rajasthan Royals,Dubai International Cricket Stadium,1,3,0,0,33.33,c JC Buttler b JC Archer,5
16,2020-10-03,Delhi Capitals,Sharjah Cricket Stadium,6,8,0,0,75.0,c S Dhawan b HV Patel,5
21,2020-10-07,Chennai Super Kings,Sheikh Zayed Stadium,12,11,1,0,109.09,c SN Thakur b SM Curran,7
24,2020-10-10,Kings XI Punjab,Sheikh Zayed Stadium,58,29,8,2,200.0,run out (),5
28,2020-10-12,Royal Challengers Bangalore,Sharjah Cricket Stadium,1,2,0,0,50.0,b YS Chahal,5
32,2020-10-16,Mumbai Indians,Sheikh Zayed Stadium,4,8,1,0,50.0,b RD Chahar,4
35,2020-10-18,Sunrisers Hyderabad,Sheikh Zayed Stadium,29,14,2,2,207.14,not out,6
39,2020-10-21,Royal Challengers Bangalore,Sheikh Zayed Stadium,4,14,0,0,28.57,lbw b YS Chahal,5
42,2020-10-24,Delhi Capitals,Sheikh Zayed Stadium,3,6,0,0,50.0,c RR Pant b K Rabada,4
46,2020-10-26,Kings XI Punjab,Sharjah Cricket Stadium,0,2,0,0,0.0,c KL Rahul b Mohammed Shami,4
49,2020-10-29,Chennai Super Kings,Dubai International Cricket Stadium,21,10,3,0,210.0,not out,6
54,2020-11-01,Rajasthan Royals,Dubai International Cricket Stadium,0,1,0,0,0.0,c SPD Smith b R Tewatia,6
