innings,team,wicket_number,player_out,score,over
1,Rajasthan Royals,1,SA Asnodkar,127,12.1
1,Rajasthan Royals,2,GC Smith,150,14.6
1,Rajasthan Royals,3,YK Pathan,178,17.2
1,Rajasthan Royals,4,M Kaif,199,19.2
1,Rajasthan Royals,5,T Kohli,211,20.6
2,Chennai Super Kings,1,SP Fleming,14,2.4
2,Chennai Super Kings,2,SK Raina,84,9.3
2,Chennai Super Kings,3,PA Patel,157,15.6
2,Chennai Super Kings,4,MS Dhoni,182,18.4
2,Chennai Super Kings,5,S Badrinath,188,19.4
2,Chennai Super Kings,6,JA Morkel,201,20.5
2,Chennai Super Kings,7,A Mukund,201,20.6
