match_number,date,opponent,catches,stumpings,run_outs
2,2012-04-05,Kolkata Knight Riders,1,1,1
11,2012-04-10,Chennai Super Kings,1,0,3
19,2012-04-16,Mumbai Indians,1,0,1
23,2012-04-19,Deccan Chargers,1,0,1
27,2012-04-21,Pune Warriors,1,0,0
36,2012-04-27,Mumbai Indians,0,0,1
39,2012-04-29,Rajasthan Royals,0,0,1
43,2012-05-01,Rajasthan Royals,1,0,0
51,2012-05-07,Kolkata Knight Riders,1,0,0
55,2012-05-10,Deccan Chargers,1,0,0
64,2012-05-15,Kings XI Punjab,2,1,0
69,2012-05-19,Kings XI Punjab,1,0,0
73,2012-05-22,Kolkata Knight Riders,1,0,0
75,2012-05-25,Chennai Super Kings,2,0,1
