match_number,date,opponent,catches,stumpings,run_outs
4,2009-04-19,Kolkata Knight Riders,1,0,0
8,2009-04-22,Royal Challengers Bangalore,1,0,0
12,2009-04-25,Mumbai Indians,1,0,0
21,2009-04-30,Delhi Daredevils,1,0,0
25,2009-05-02,Rajasthan Royals,2,0,1
29,2009-05-04,Chennai Super Kings,1,0,0
36,2009-05-09,Kings XI Punjab,0,0,1
49,2009-05-17,Kings XI Punjab,1,0,1
56,2009-05-21,Royal Challengers Bangalore,1,0,0
57,2009-05-22,Delhi Daredevils,1,0,0
59,2009-05-24,Royal Challengers Bangalore,1,0,0
