match_number,date,opponent,venue,result,margin
3,2013-04-05,Pune Warriors,"Rajiv Gandhi International Stadium, Uppal",won,by 22 runs
7,2013-04-07,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Uppal",no result,
9,2013-04-09,Royal Challengers Bangalore,M Chinnaswamy Stadium,lost,by 7 wickets
14,2013-04-12,Delhi Daredevils,Feroz Shah Kotla,won,by 3 wickets
17,2013-04-14,Kolkata Knight Riders,Eden Gardens,lost,by 48 runs
22,2013-04-17,Pune Warriors,Maharashtra Cricket Association Stadium,won,by 11 runs
25,2013-04-19,Kings XI Punjab,"Rajiv Gandhi International Stadium, Uppal",won,by 5 wickets
34,2013-04-25,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",lost,by 5 wickets
36,2013-04-27,Rajasthan Royals,Sawai Mansingh Stadium,lost,by 8 wickets
43,2013-05-01,Mumbai Indians,"Rajiv Gandhi International Stadium, Uppal",won,by 7 wickets
48,2013-05-04,Delhi Daredevils,"Rajiv Gandhi International Stadium, Uppal",won,by 6 wickets
54,2013-05-08,Chennai Super Kings,"Rajiv Gandhi International Stadium, Uppal",lost,by 77 runs
59,2013-05-11,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",won,by 30 runs
62,2013-05-13,Mumbai Indians,Wankhede Stadium,lost,by 7 wickets
68,2013-05-17,Rajasthan Royals,"Rajiv Gandhi International Stadium, Uppal",won,by 23 runs
72,2013-05-19,Kolkata Knight Riders,"Rajiv Gandhi International Stadium, Uppal",won,by 5 wickets
74,2013-05-22,Rajasthan Royals,Feroz Shah Kotla,lost,by 4 wickets
