innings,team,phase,runs,wickets,balls,run_rate,boundaries,dots
1,Sunrisers Hyderabad,death,53,3,30,10.6,4,5
1,Sunrisers Hyderabad,middle,64,4,54,7.11,6,17
1,Sunrisers Hyderabad,powerplay,56,1,36,9.33,8,15
2,Mumbai Indians,death,80,0,37,12.97,13,6
2,Mumbai Indians,middle,54,0,36,9.0,9,17
2,Mumbai Indians,powerplay,40,3,31,7.74,5,20
