innings,team,wicket_number,player_out,score,over
1,Lucknow Super Giants,1,MR Marsh,115,11.3
1,Lucknow Super Giants,2,RR Pant,124,12.6
1,Lucknow Super Giants,3,AK Markram,159,16.4
1,Lucknow Super Giants,4,A Badoni,169,18.4
1,Lucknow Super Giants,5,N Pooran,194,20.3
1,Lucknow Super Giants,6,SN Thakur,199,20.4
1,Lucknow Super Giants,7,Abdul Samad,199,20.5
2,Sunrisers Hyderabad,1,Atharva Taide,17,2.4
2,Sunrisers Hyderabad,2,Abhishek Sharma,99,8.3
2,Sunrisers Hyderabad,3,Ishan Kishan,140,12.3
2,Sunrisers Hyderabad,4,H Klaasen,195,18.3
2,Sunrisers Hyderabad,5,PHKD Mendis,197,18.5
