innings,over,ball,team,batter,bowler,umpire,type,decision,umpires_call
1,19,5,Lucknow Super Giants,SB Dubey,Prince Yadav,VK Sharma,wicket,struck down,False
2,9,4,Rajasthan Royals,N Pooran,Ravi Bishnoi,AK Argal,wicket,struck down,False
