innings,team,wicket_number,player_out,score,over
1,Chennai Super Kings,1,DR Smith,0,1.1
1,Chennai Super Kings,2,SK Raina,43,4.3
1,Chennai Super Kings,3,BB McCullum,64,6.1
1,Chennai Super Kings,4,F du Plessis,69,6.5
1,Chennai Super Kings,5,MS Dhoni,72,7.5
1,Chennai Super Kings,6,DJ Bravo,129,17.3
1,Chennai Super Kings,7,RA Jadeja,154,19.3
1,Chennai Super Kings,8,P Negi,160,19.5
1,Chennai Super Kings,9,MM Sharma,160,20.1
2,Kolkata Knight Riders,1,G Gambhir,33,5.2
2,Kolkata Knight Riders,2,MK Pandey,54,9.2
2,Kolkata Knight Riders,3,SA Yadav,57,10.1
