innings,team,wicket_number,player_out,score,over
1,Kings XI Punjab,1,V Sehwag,60,7.4
1,Kings XI Punjab,2,GJ Maxwell,68,8.4
1,Kings XI Punjab,3,M Vijay,88,11.2
1,Kings XI Punjab,4,DA Miller,134,16.3
1,Kings XI Punjab,5,R Dhawan,150,18.1
2,Mumbai Indians,1,RG Sharma,0,1.2
2,Mumbai Indians,2,AP Tare,15,4.3
2,Mumbai Indians,3,AJ Finch,17,6.2
2,Mumbai Indians,4,CJ Anderson,25,8.3
2,Mumbai Indians,5,AT Rayudu,46,12.5
2,Mumbai Indians,6,KA Pollard,59,14.4
2,Mumbai Indians,7,Harbhajan Singh,159,20.5
