innings,team,wicket_number,player_out,score,over
1,Royal Challengers Bangalore,1,V Kohli,22,4.5
1,Royal Challengers Bangalore,2,CH Gayle,22,5.1
1,Royal Challengers Bangalore,3,TM Head,22,5.2
1,Royal Challengers Bangalore,4,KM Jadhav,58,9.4
1,Royal Challengers Bangalore,5,AB de Villiers,60,10.3
1,Royal Challengers Bangalore,6,P Negi,100,14.4
1,Royal Challengers Bangalore,7,S Badree,105,15.3
1,Royal Challengers Bangalore,8,Mandeep Singh,110,16.5
1,Royal Challengers Bangalore,9,S Aravind,133,20.4
1,Royal Challengers Bangalore,10,YS Chahal,134,20.6
2,Gujarat Lions,1,Ishan Kishan,18,3.3
2,Gujarat Lions,2,BB McCullum,23,5.1
2,Gujarat Lions,3,AJ Finch,115,13.1
