innings,over,ball,team,player_in,player_out,reason
2,1,1,Kolkata Knight Riders,Suyash Sharma,VR Iyer,impact_player
2,12,4,Royal Challengers Bangalore,Anuj Rawat,Mohammed Siraj,impact_player
