match_number,date,opponent,venue,runs,balls,fours,sixes,strike_rate,dismissal,batting_position
9,2008-04-24,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal",71,45,9,2,157.78,c D Kalyankrishna b Shahid Afridi,2
12,2008-04-26,Royal Challengers Bangalore,M Chinnaswamy Stadium,49,42,8,0,116.67,c A Kumble b SB Joshi,1
18,2008-05-01,Kolkata Knight Riders,Sawai Mansingh Stadium,2,7,0,0,28.57,b I Sharma,1
24,2008-05-04,Chennai Super Kings,Sawai Mansingh Stadium,35,44,4,0,79.55,not out,1
27,2008-05-07,Mumbai Indians,Dr DY Patil Sports Academy,5,9,0,0,55.56,st YV Takawale b SM Pollock,1
30,2008-05-09,Deccan Chargers,Sawai Mansingh Stadium,40,43,4,0,93.02,c PP Ojha b RP Singh,1
33,2008-05-11,Delhi Daredevils,Sawai Mansingh Stadium,24,27,3,0,88.89,c VY Mahesh b A Mishra,2
39,2008-05-17,Royal Challengers Bangalore,Sawai Mansingh Stadium,75,49,8,2,153.06,not out,1
44,2008-05-20,Kolkata Knight Riders,Eden Gardens,24,24,4,0,100.0,c WP Saha b Umar Gul,1
49,2008-05-24,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",91,51,9,4,178.43,c MS Dhoni b SK Raina,1
57,2008-05-30,Delhi Daredevils,Wankhede Stadium,25,21,5,0,119.05,c S Dhawan b MF Maharoof,1
