match_number,date,opponent,venue,result,margin
2,2015-04-09,Delhi Daredevils,"MA Chidambaram Stadium, Chepauk",won,by 1 runs
4,2015-04-11,Sunrisers Hyderabad,"MA Chidambaram Stadium, Chepauk",won,by 45 runs
12,2015-04-17,Mumbai Indians,Wankhede Stadium,won,by 6 wickets
15,2015-04-19,Rajasthan Royals,"Sardar Patel Stadium, Motera",lost,by 8 wickets
20,2015-04-22,Royal Challengers Bangalore,M Chinnaswamy Stadium,won,by 27 runs
24,2015-04-25,Kings XI Punjab,"MA Chidambaram Stadium, Chepauk",won,by 97 runs
28,2015-04-28,Kolkata Knight Riders,"MA Chidambaram Stadium, Chepauk",won,by 2 runs
30,2015-04-30,Kolkata Knight Riders,Eden Gardens,lost,by 7 wickets
34,2015-05-02,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",lost,by 22 runs
37,2015-05-04,Royal Challengers Bangalore,"MA Chidambaram Stadium, Chepauk",won,by 24 runs
43,2015-05-08,Mumbai Indians,"MA Chidambaram Stadium, Chepauk",lost,by 6 wickets
47,2015-05-10,Rajasthan Royals,"MA Chidambaram Stadium, Chepauk",won,by 12 runs
49,2015-05-12,Delhi Daredevils,Shaheed Veer Narayan Singh International Stadium,lost,by 6 wickets
53,2015-05-16,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",won,by 7 wickets
57,2015-05-19,Mumbai Indians,Wankhede Stadium,lost,by 25 runs
59,2015-05-22,Royal Challengers Bangalore,JSCA International Stadium Complex,won,by 3 wickets
60,2015-05-24,Mumbai Indians,Eden Gardens,lost,by 41 runs
