match_number,date,opponent,catches,stumpings,run_outs
8,2024-03-27,Sunrisers Hyderabad,1,0,0
14,2024-04-01,Rajasthan Royals,1,0,0
20,2024-04-07,Delhi Capitals,1,0,0
25,2024-04-11,Royal Challengers Bengaluru,2,0,0
51,2024-05-03,Kolkata Knight Riders,1,0,0
