match_number,date,opponent,venue,runs,balls,fours,sixes,strike_rate,dismissal,batting_position
3,2023-04-01,Lucknow Super Giants,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",30,20,3,1,150.0,c KR Mayers b Ravi Bishnoi,5
7,2023-04-04,Gujarat Titans,"Arun Jaitley Stadium, Delhi",0,1,0,0,0.0,c R Tewatia b AS Joseph,5
11,2023-04-08,Rajasthan Royals,"Barsapara Cricket Stadium, Guwahati",14,12,2,0,116.67,c YBK Jaiswal b R Ashwin,4
44,2023-05-02,Gujarat Titans,"Narendra Modi Stadium, Ahmedabad",8,6,2,0,133.33,c WP Saha b Mohammed Shami,4
50,2023-05-06,Royal Challengers Bangalore,"Arun Jaitley Stadium, Delhi",35,22,1,3,159.09,not out,4
55,2023-05-10,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk, Chennai",35,37,2,1,94.59,c M Pathirana b RA Jadeja,5
59,2023-05-13,Punjab Kings,"Arun Jaitley Stadium, Delhi",5,5,1,0,100.0,c Sikandar Raza b Harpreet Brar,4
64,2023-05-17,Punjab Kings,"Himachal Pradesh Cricket Association Stadium, Dharamsala",82,37,6,6,221.62,not out,3
67,2023-05-20,Chennai Super Kings,"Arun Jaitley Stadium, Delhi",0,1,0,0,0.0,b DL Chahar,4
