innings,team,phase,runs,wickets,balls,run_rate,boundaries,dots
1,Chennai Super Kings,death,74,1,30,14.8,10,5
1,Chennai Super Kings,middle,66,3,54,7.33,8,24
1,Chennai Super Kings,powerplay,51,0,36,8.5,8,14
2,Royal Challengers Bangalore,death,27,1,30,5.4,2,15
2,Royal Challengers Bangalore,middle,30,6,54,3.33,2,34
2,Royal Challengers Bangalore,powerplay,65,2,36,10.83,10,12
