match_number,date,opponent,venue,runs,balls,fours,sixes,strike_rate,dismissal,batting_position
4,2019-03-25,Kings XI Punjab,Sawai Mansingh Stadium,20,16,1,1,125.0,c KL Rahul b SM Curran,4
12,2019-03-31,Chennai Super Kings,MA Chidambaram Stadium,28,30,2,0,93.33,c DR Shorey b Imran Tahir,5
14,2019-04-02,Royal Challengers Bangalore,Sawai Mansingh Stadium,38,31,2,1,122.58,c UT Yadav b Mohammed Siraj,3
21,2019-04-07,Kolkata Knight Riders,Sawai Mansingh Stadium,73,59,7,1,123.73,not out,3
25,2019-04-11,Chennai Super Kings,Sawai Mansingh Stadium,15,22,1,0,68.18,c AT Rayudu b RA Jadeja,4
27,2019-04-13,Mumbai Indians,Wankhede Stadium,12,15,1,0,80.0,c Ishan Kishan b JJ Bumrah,4
36,2019-04-20,Mumbai Indians,Sawai Mansingh Stadium,59,48,5,1,122.92,not out,3
40,2019-04-22,Delhi Capitals,Sawai Mansingh Stadium,50,32,8,0,156.25,c CH Morris b AR Patel,3
43,2019-04-25,Kolkata Knight Riders,Eden Gardens,2,6,0,0,33.33,b SP Narine,3
45,2019-04-27,Sunrisers Hyderabad,Sawai Mansingh Stadium,22,16,3,0,137.5,c S Kaul b KK Ahmed,4
